Block,Total Edges
Block-0,93537
Block-1,76633
Block-2,76729
Block-3,76705
Block-4,75669
Block-5,76328
Block-6,75869
Block-7,76012
Block-8,76542
Block-9,76261
Block-10,76194
Block-11,76710
Block-12,76339
Block-13,76008
Block-14,75346
Block-15,76024
Block-16,75496
Block-17,76048
Block-18,76075
Block-19,76232
Block-20,76183
Block-21,75634
Block-22,77234
Block-23,75788
Block-24,76394
Block-25,76016
Block-26,76742
Block-27,76420
Block-28,76382
Block-29,77114
Block-30,76105
Block-31,93467
Block-32,76052
Block-33,76693
Block-34,75314
Block-35,76024
Block-36,75552
Block-37,75904
Block-38,76242
Block-39,75364
Block-40,76291
Block-41,76249
Block-42,75172
Block-43,75410
Block-44,74351
Block-45,75232
Block-46,75672
Block-47,76070
Block-48,75375
Block-49,75760
Block-50,76006
Block-51,74751
Block-52,76483
Block-53,75427
Block-54,75988
Block-55,75730
Block-56,76601
Block-57,76478
Block-58,76171
Block-59,76800
Block-60,76477
Block-61,77109
Block-62,93041
Block-63,77061
Block-64,75676
Block-65,76312
Block-66,75921
Block-67,75143
Block-68,76112
Block-69,75232
Block-70,76562
Block-71,76267
Block-72,76651
Block-73,75675
Block-74,74959
Block-75,76356
Block-76,76030
Block-77,76621
Block-78,76209
Block-79,76803
Block-80,75547
Block-81,75839
Block-82,77223
Block-83,75822
Block-84,76390
Block-85,76137
Block-86,76324
Block-87,75866
Block-88,76255
Block-89,76910
Block-90,75815
Block-91,76157
Block-92,75854
Block-93,92988
Block-94,75764
Block-95,75620
Block-96,75072
Block-97,75429
Block-98,75692
Block-99,74829
Block-100,75225
Block-101,76195
Block-102,76071
Block-103,75248
Block-104,74668
Block-105,75076
Block-106,75514
Block-107,75851
Block-108,75395
Block-109,74505
Block-110,75443
Block-111,74872
Block-112,76286
Block-113,74674
Block-114,75486
Block-115,75707
Block-116,76043
Block-117,75496
Block-118,75660
Block-119,75790
Block-120,75971
Block-121,76106
Block-122,75510
Block-123,77266
Block-124,92242
Block-125,76339
Block-126,75899
Block-127,75305
Block-128,75981
Block-129,75323
Block-130,75395
Block-131,76143
Block-132,75253
Block-133,75266
Block-134,74728
Block-135,75561
Block-136,75736
Block-137,76541
Block-138,75297
Block-139,76022
Block-140,75501
Block-141,74973
Block-142,76451
Block-143,75741
Block-144,75547
Block-145,75611
Block-146,75662
Block-147,75821
Block-148,75872
Block-149,75949
Block-150,76221
Block-151,76473
Block-152,75874
Block-153,76488
Block-154,76118
Block-155,93097
Block-156,76621
Block-157,76552
Block-158,76153
Block-159,75940
Block-160,76209
Block-161,76344
Block-162,76043
Block-163,75598
Block-164,74646
Block-165,75479
Block-166,75529
Block-167,75623
Block-168,76435
Block-169,75908
Block-170,75702
Block-171,75056
Block-172,76695
Block-173,75725
Block-174,76088
Block-175,75903
Block-176,76386
Block-177,76272
Block-178,76039
Block-179,76644
Block-180,76094
Block-181,76782
Block-182,75911
Block-183,76498
Block-184,75970
Block-185,77106
Block-186,93562
Block-187,76957
Block-188,76411
Block-189,75711
Block-190,76690
Block-191,76648
Block-192,76494
Block-193,76167
Block-194,75219
Block-195,75429
Block-196,75936
Block-197,76419
Block-198,76788
Block-199,75821
Block-200,76273
Block-201,75901
Block-202,76521
Block-203,75907
Block-204,76711
Block-205,75970
Block-206,76264
Block-207,76300
Block-208,76481
Block-209,76858
Block-210,75979
Block-211,77023
Block-212,75360
Block-213,76647
Block-214,75602
Block-215,76915
Block-216,76640
Block-217,93829
Block-218,76067
Block-219,75947
Block-220,76234
Block-221,76695
Block-222,75864
Block-223,75742
Block-224,75761
Block-225,76000
Block-226,75327
Block-227,76060
Block-228,76535
Block-229,75944
Block-230,75946
Block-231,75699
Block-232,76891
Block-233,75812
Block-234,76067
Block-235,76056
Block-236,76423
Block-237,75713
Block-238,76475
Block-239,76287
Block-240,76192
Block-241,76761
Block-242,75945
Block-243,76800
Block-244,75519
Block-245,76148
Block-246,75637
Block-247,75590
Block-248,93092
Block-249,75893
Block-250,77104
Block-251,76221
Block-252,76543
Block-253,75256
Block-254,74606
Block-255,75484
Block-256,75488
Block-257,75961
Block-258,75526
Block-259,76017
Block-260,75756
Block-261,75476
Block-262,76983
Block-263,76093
Block-264,75941
Block-265,75832
Block-266,76031
Block-267,75736
Block-268,75863
Block-269,76973
Block-270,76121
Block-271,76245
Block-272,75270
Block-273,76279
Block-274,75346
Block-275,76194
Block-276,75408
Block-277,75943
Block-278,76134
Block-279,92507
Block-280,76854
Block-281,76446
Block-282,76455
Block-283,75527
Block-284,74820
Block-285,75282
Block-286,75326
Block-287,76061
Block-288,75324
Block-289,75408
Block-290,75235
Block-291,75615
Block-292,76646
Block-293,75560
Block-294,76431
Block-295,75944
Block-296,75856
Block-297,75731
Block-298,75526
Block-299,76011
Block-300,76252
Block-301,77051
Block-302,76525
Block-303,76575
Block-304,75669
Block-305,76520
Block-306,76302
Block-307,76126
Block-308,77362
Block-309,76802
Block-310,94392
Block-311,78286
Block-312,76717
Block-313,75966
Block-314,75903
Block-315,76258
Block-316,75933
Block-317,76968
Block-318,76407
Block-319,76519
Block-320,76347
Block-321,75711
Block-322,77198
Block-323,76306
Block-324,77059
Block-325,76805
Block-326,77090
Block-327,76320
Block-328,76529
Block-329,77181
Block-330,76689
