Block,Total Edges
Block-0,0
Block-1,0
Block-2,0
Block-3,0
Block-4,0
Block-5,0
Block-6,0
Block-7,0
Block-8,0
Block-9,0
Block-10,0
Block-11,0
Block-12,0
Block-13,0
Block-14,0
Block-15,0
Block-16,0
Block-17,0
Block-18,0
Block-19,0
Block-20,0
Block-21,0
Block-22,0
Block-23,0
Block-24,0
Block-25,0
Block-26,0
Block-27,0
Block-28,0
Block-29,0
Block-30,0
Block-31,0
Block-32,0
Block-33,0
Block-34,0
Block-35,0
Block-36,0
Block-37,0
Block-38,0
Block-39,0
Block-40,0
Block-41,0
Block-42,0
Block-43,0
Block-44,0
Block-45,0
Block-46,0
Block-47,0
Block-48,0
Block-49,0
Block-50,0
Block-51,0
Block-52,0
Block-53,0
Block-54,0
Block-55,0
Block-56,0
Block-57,0
Block-58,0
Block-59,0
Block-60,0
Block-61,0
Block-62,0
Block-63,0
Block-64,0
Block-65,0
Block-66,0
Block-67,0
Block-68,0
Block-69,0
Block-70,0
Block-71,0
Block-72,0
Block-73,0
Block-74,0
Block-75,0
Block-76,0
Block-77,0
Block-78,0
Block-79,0
Block-80,0
Block-81,0
Block-82,0
Block-83,0
Block-84,0
Block-85,0
Block-86,0
Block-87,0
Block-88,0
Block-89,0
Block-90,3633
Block-91,5565
Block-92,4846
Block-93,90944
Block-94,48179
Block-95,54115
Block-96,33924
Block-97,38917
Block-98,40021
Block-99,52132
Block-100,10697
Block-101,4419
Block-102,4620
Block-103,4981
Block-104,5399
Block-105,5058
Block-106,4832
Block-107,46837
Block-108,30267
Block-109,26324
Block-110,23193
Block-111,20067
Block-112,18701
Block-113,11355
Block-114,19662
Block-115,3913
Block-116,10452
Block-117,4866
Block-118,0
Block-119,0
Block-120,5734
Block-121,9695
Block-122,7212
Block-123,90170
Block-124,93900
Block-125,100072
Block-126,68896
Block-127,79383
Block-128,86061
Block-129,115525
Block-130,24511
Block-131,11039
Block-132,11815
Block-133,11928
Block-134,13746
Block-135,12747
Block-136,11976
Block-137,108275
Block-138,71168
Block-139,60146
Block-140,53271
Block-141,44726
Block-142,40590
Block-143,23935
Block-144,38577
Block-145,7764
Block-146,20647
Block-147,8898
