Block,Total Edges
Block-0,13427416
Block-1,5256112
Block-2,2274615
Block-3,1298474
Block-4,825846
Block-5,725598
Block-6,204762
Block-7,15496
Block-8,19463
Block-9,5901078
Block-10,6088461
Block-11,1661610
Block-12,1074221
Block-13,613745
Block-14,315352
Block-15,478356
Block-16,60899
Block-17,13253
Block-18,2573006
Block-19,1725018
Block-20,2535054
Block-21,821687
Block-22,537430
Block-23,357324
Block-24,231406
Block-25,340144
Block-26,6950
Block-27,1438630
Block-28,1113279
Block-29,809281
Block-30,2345476
Block-31,478311
Block-32,269005
Block-33,224499
Block-34,304063
Block-35,31708
Block-36,900255
Block-37,635033
Block-38,537136
Block-39,462083
Block-40,1002561
Block-41,244686
Block-42,179232
Block-43,127025
Block-44,163367
Block-45,737647
Block-46,323825
Block-47,355274
Block-48,263520
Block-49,240438
Block-50,683701
Block-51,165449
Block-52,117869
Block-53,151378
Block-54,202767
Block-55,458630
Block-56,225682
Block-57,207300
Block-58,169805
Block-59,163667
Block-60,640897
Block-61,122624
Block-62,142499
Block-63,18739
Block-64,58015
Block-65,316396
Block-66,272637
Block-67,118218
Block-68,113465
Block-69,116257
Block-70,554958
Block-71,159415
Block-72,24403
Block-73,15892
Block-74,9848
Block-75,37996
Block-76,141588
Block-77,137112
Block-78,126430
Block-79,142543
Block-80,608483
