File,Size (KB)
block-1-1,42135.453125
block-2-4,3172.234375
block-3-5,2612.3203125
block-1-5,778.1640625
block-2-0,21389.5546875
block-5-1,744.015625
block-0-3,11080.546875
block-3-4,2866.4765625
block-5-2,2505.296875
block-1-3,7121.1796875
block-4-2,2993.9375
block-2-3,5526.1953125
block-5-3,2368.3203125
block-3-0,11479.8046875
block-3-2,5382.3125
block-0-2,19694.0703125
block-5-4,2229.859375
block-2-2,24388.4765625
block-4-5,2435.765625
block-2-5,2791.0546875
block-4-4,7507.96875
block-4-0,3698.5
block-3-3,11498.265625
block-0-5,290.8828125
block-4-1,5597.3046875
block-2-1,13459.4296875
filesize.py,0.837890625
block-1-4,5839.3203125
block-5-0,353.6015625
block-4-3,2771.375
block-5-5,8249.0078125
block-0-0,182193.5
block-0-1,47188.328125
block-3-1,7189.7109375
block-1-0,52251.3828125
block-0-4,3800.3359375
block-1-2,13429.8984375
