File,Size (KB)
block-4-3,15242992
block-5-4,15211856
block-0-1,15227696
block-2-5,15215528
block-3-2,15193024
block-2-2,15848096
block-3-5,15258872
file_sizes.csv,902
block-1-1,15967952
block-4-4,15926960
block-5-3,15226512
block-4-0,15196648
block-3-1,15273824
block-1-5,15259056
block-0-2,15166136
block-1-2,15210608
block-0-5,15192288
block-2-1,15219864
block-5-0,15144832
block-3-4,15266184
block-2-3,15188688
block-1-0,15187896
block-5-2,15189880
block-4-5,15229248
block-5-5,15886352
block-4-2,15220432
filesize.py,853
block-0-0,15837568
block-3-3,15939208
block-2-4,15215024
block-0-4,15217104
block-1-3,15246160
block-2-0,15147896
block-5-1,15251560
block-4-1,15265408
block-3-0,15205864
block-0-3,15227240
block-1-4,15245728
